Timestamp,Did you win or lose?,Which side on the map are you in?,What spaceship do you use?,Please write down the first three words that come to mind after playing the game.,Is the time limit enough for the game?,How well is the game balancing overall?,Is the ... of the Defender enough? [health],Is the ... of the Defender enough? [damage],Is the ... of the Defender enough? [speed],Is the ... of the Defender enough? [ability duration],Is the ... of the Assassin enough? [health],Is the ... of the Assassin enough? [damage],Is the ... of the Assassin enough? [speed],Is the ... of the Assassin enough? [ability duration],How would you rate the overall gameplay?,How likely would you recommend Lumina to others?,"How would you rate the visual clarity of the game elements (UI, shapes, icons)?  ",Did you notice any differences in sharpness or scalability in the visuals compared to traditional raster graphics?,"If yes, please describe.",How aesthetically appealing did you find the vector-based visuals during gameplay?  ,How interactive did the UI or visual elements feel during gameplay?,"Were visual elements (e.g., animations, icons, buttons) responsive to your actions or changes in the environment?  ","Did the vector-based elements enhance the gameplay feedback (e.g., animations, status indicators, overlays)?  ","How smooth were the visual transitions and animations (e.g., scaling, movement, HUD updates)?  ",Does the animation of the spaceship stats convey the state of the spaceship accurately.,Is the game's UI layout responsive (fits to all sizes and aspect ratios of screens)?,"Would you prefer this type of responsive, scalable graphics system in other real-time games? Why or why not?  ",Which side of the image do you prefer?,How pleasing was the lighting in the game?  ,Do you think global illumination added any strategic advantage during gameplay?,Did global illumination make the environment feel more immersive or alive? ,Do you have any other final suggestions/feedback that you want to share to us?
4/26/2025 13:28:59,Win,Bottom right,Assassin,It's fun and has a nice base for a PvP game,Too much,3,Just nice,Just nice,Too much,Too much,Just nice,Just nice,Just nice,Just nice,8,4,4,No,I answered no,4,4,Yes,Yes,4,Yes,Yes,Yeah I would makes it feel more active.,Left (With GI),4,Yes,4,
4/26/2025 13:51:49,Lose,Top left,Assassin,Fun,Just nice,4,Just nice,Just nice,Just nice,Just nice,Too less,Just nice,Just nice,Too less,8,4,4,No,I answered no,4,3,Yes,Yes,4,Yes,Yes,Yes,Left (With GI),3,No,3,
4/26/2025 14:24:34,Lose,Bottom right,Defender,"Gan jeong, team, fun",Just nice,4,Just nice,Just nice,Just nice,Just nice,Just nice,Just nice,Just nice,Just nice,7,4,4,No,I answered no,4,4,Yes,Yes,4,Yes,Yes,,Left (With GI),2,No,4,
4/26/2025 14:25:04,Win,Top left,Defender,High paces action,Too much,4,Just nice,Too much,Too much,Too less,Too much,Just nice,Just nice,Too less,7,5,3,No,I answered no,4,5,Yes,Yes,5,Yes,Yes,"Generally speaking yes, it was very high speed, high adrenaline based so it wouldn’t necessarily work in a visual novel or casual game",Left (With GI),5,"However, in a very illuminated area it did show where the enemy was",5,
4/26/2025 14:26:23,Win,Top left,Assassin,Fast pace spaceship,Just nice,4,Just nice,Just nice,Just nice,Just nice,Just nice,Just nice,Just nice,Just nice,8,4,4,Yes,I answered no,4,4,Yes,Yes,4,Yes,Yes,,Left (With GI),4,Yes,4,
4/26/2025 14:39:56,Win,Top left,Assassin,Easy to learn,Just nice,4,Too much,Just nice,Too much,Too much,Just nice,Just nice,Too much,Just nice,7,4,3,No,I answered no,3,5,Yes,Yes,4,No,Yes,,Left (With GI),4,Yes,3,None
4/26/2025 14:41:36,Lose,Bottom right,Assassin,"Neon , ship , space",Just nice,3,Too much,Too much,Too much,Too much,Too much,Too much,Too much,Too much,5,3,4,No,I answered no,4,4,Yes,Yes,3,Yes,Yes,,Left (With GI),4,Yes,4,
4/26/2025 15:10:25,Lose,Bottom right,Defender,Very nice ,Too much,3,Just nice,Just nice,Just nice,Just nice,Too much,Just nice,Too much,Too less,6,4,4,No,I answered no,4,4,Yes,No,3,Yes,Yes,,Left (With GI),5,Yes,4,
4/26/2025 15:11:59,Win,Bottom right,Assassin,Fun to bully,Just nice,4,Just nice,Just nice,Just nice,Just nice,Just nice,Just nice,Too much,Too less,6,4,5,No,I answered no,3,3,Yes,Yes,5,Yes,Yes,Yes becuz very smooth,Left (With GI),3,No,4,
4/26/2025 15:58:47,Win,Top left,Assassin,"Adrenaline, amazing shooter",Too much,3,Just nice,Just nice,Just nice,Just nice,Just nice,Just nice,Just nice,Just nice,10,4,5,No,I answered no,5,5,Yes,Yes,5,No,Yes,"Yes , because its very good game feel",Left (With GI),5,Yes,5,Very good game just the lumina should be a bit bigger
4/26/2025 21:40:00,Win,Top left,Assassin,"Fast paced, colourful, fun",Just nice,3,Just nice,Just nice,Just nice,Just nice,Just nice,Just nice,Just nice,Just nice,10,5,4,No,I answered no,4,4,Somewhat,Yes,4,Yes,Yes,,Left (With GI),4,Yes,4,No just good
4/27/2025 11:11:26,Lose,Top left,Defender,"Engaging, challenging, good graphics",Just nice,4,Too less,Just nice,Just nice,Just nice,Too much,Too much,Just nice,Too much,10,5,4,No,I answered no,4,3,Yes,Yes,4,Yes,Yes,Yes,Left (With GI),4,Yes,4,No
4/27/2025 11:15:25,Win,Top left,Assassin,Map too dark,Just nice,4,Just nice,Just nice,Just nice,Just nice,Just nice,Just nice,Just nice,Just nice,6,3,5,No,I answered no,3,3,Yes,No,5,Yes,Yes,"As a player, it doesnt really make any difference for me",Left (With GI),4,No,4,
4/27/2025 11:57:50,Win,Top left,Assassin,"Cigek, fun,, Good",Just nice,3,Just nice,Just nice,Just nice,Just nice,Just nice,Just nice,Just nice,Just nice,8,4,4,No,I answered no,5,4,Yes,Yes,3,No,Yes,,Left (With GI),4,Yes,5,
4/27/2025 11:58:35,Lose,Bottom right,Assassin,"Fun, Enjoyed, Fantastic",Just nice,4,Just nice,Too much,Just nice,Too less,Just nice,Just nice,Just nice,Just nice,9,5,4,No,I answered no,4,4,Yes,Yes,4,Yes,Yes,Yes,Left (With GI),4,Yes,4,
4/27/2025 12:08:50,Win,Top left,Defender,"Polished, Fun, and Good potential",Just nice,3,Just nice,Just nice,Just nice,Too less,Too much,Too less,Just nice,Too much,8,4,5,No,I answered no,5,4,Yes,Yes,5,Yes,Yes,,Left (With GI),5,Yes,5,
4/27/2025 12:41:49,Lose,Top left,Assassin,Space futuristic ships,Just nice,3,Just nice,Just nice,Too much,Just nice,Just nice,Just nice,Just nice,Just nice,7,4,3,No,I answered no,4,3,Somewhat,Yes,4,Yes,Yes,,Left (With GI),3,Yes,4,"Move ammo UI to center of the screen for better visual clarity, walls blend in with the darkness a bit too much, can't tell if its a wall or lack of lighting"
4/27/2025 13:47:10,Win,Bottom right,Assassin,Fighting shooting and fight,Just nice,5,Just nice,Just nice,Too much,Too much,Just nice,Just nice,Just nice,Just nice,9,5,5,Yes,I answered no,5,4,Yes,Yes,4,Yes,Yes,-,Left (With GI),5,Yes,5,Goodluck and rlly looking foward fr whta happens next
4/27/2025 14:03:25,Win,Top left,Defender,best,Just nice,5,Too much,Just nice,Too much,Just nice,Just nice,Too much,Just nice,Just nice,9,5,5,Yes,I answered no,5,5,Yes,Yes,5,Yes,Yes,,Left (With GI),5,Yes,4,goodluck 
4/27/2025 14:04:50,Win,Bottom right,Assassin,FUN GOOD GREAT,Just nice,4,Just nice,Too much,Too less,Just nice,Just nice,Too much,Just nice,Too much,9,5,5,No,I answered no,4,5,Yes,Yes,4,Yes,Yes,Yes,Right (Without GI),4,No,5,No
4/27/2025 14:16:35,Lose,Bottom right,Assassin,"Cool, interesting, ",Just nice,3,Just nice,Just nice,Just nice,Just nice,Just nice,Just nice,Just nice,Too less,7,3,5,No,I answered no,5,5,No,Yes,5,No,Yes,"Yes,",Left (With GI),4,No,4,
4/27/2025 14:35:30,Lose,Bottom right,Defender,good graphics!,Just nice,5,Just nice,Too less,Just nice,Too much,Just nice,Just nice,Just nice,Just nice,6,4,5,Yes,I answered no,5,5,Yes,Yes,5,Yes,Yes,,Left (With GI),1,Yes,5,
4/27/2025 14:43:57,Win,Top left,Assassin,"Fun, mine, kill",Just nice,4,Just nice,Just nice,Too much,Just nice,Just nice,Just nice,Too much,Just nice,8,5,5,Yes,It's more cool ,3,5,No,Yes,4,Yes,Yes,Yes. ,Left (With GI),3,Yes,5,"None
"
